date,ticker,daily_return
2019-01-03,NVDA,-0.060417045937199876
2019-01-04,NVDA,0.06406750613084933
2019-01-07,NVDA,0.052940876607531884
2019-01-08,NVDA,-0.024895483159925957
2019-01-09,NVDA,0.019666787169221767
2019-01-10,NVDA,0.01858601529322934
2019-01-11,NVDA,0.024788293543333673
2019-01-14,NVDA,0.010817782238345952
2019-01-15,NVDA,-0.0037888092163229636
2019-01-16,NVDA,-0.006872895227565623
2019-01-17,NVDA,0.019349905455088523
2019-01-18,NVDA,0.03433940902253596
2019-01-22,NVDA,-0.05199769635500695
2019-01-23,NVDA,0.0034953054979607323
2019-01-24,NVDA,0.057271217692331344
2019-01-25,NVDA,0.014635030133058669
2019-01-28,NVDA,-0.13824539207043807
2019-01-29,NVDA,-0.04644592716415785
2019-01-30,NVDA,0.04399705567389245
2019-01-31,NVDA,0.04629137185020826
2019-02-01,NVDA,0.0068173985775084045
2019-02-04,NVDA,0.030746981970720233
2019-02-05,NVDA,0.005161513468135981
2019-02-06,NVDA,0.02034015579385451
2019-02-07,NVDA,-0.03647069204468012
2019-02-08,NVDA,0.005087595162078573
2019-02-11,NVDA,-0.011608186817611887
2019-02-12,NVDA,0.032229553933734056
2019-02-13,NVDA,0.011311473897834157
2019-02-14,NVDA,0.010792982089793401
2019-02-15,NVDA,0.01818410015336669
2019-02-19,NVDA,-0.004448854702260863
2019-02-20,NVDA,0.012193381402298753
2019-02-21,NVDA,-0.01753401026569834
2019-02-22,NVDA,0.021955500711901
2019-02-25,NVDA,-0.003140755004981788
2019-02-26,NVDA,-0.01001965732950083
2019-02-27,NVDA,-0.01075731755521614
2019-02-28,NVDA,-0.006376936236824893
2019-03-01,NVDA,0.014196823791641888
2019-03-04,NVDA,0.002109402960249529
2019-03-05,NVDA,-0.001658310678556374
2019-03-06,NVDA,-0.028559017618546956
2019-03-07,NVDA,-0.01834896581037404
2019-03-08,NVDA,0.009245576457956206
2019-03-11,NVDA,0.06970291021767383
